,Cluster,Antibody
1009,7,BD55-6261
1010,7,BD55-6281
1011,7,BD55-6335
1012,7,BD55-6361
1013,7,BD55-6388
1014,7,BD55-6391
1015,7,BD55-6392
1016,7,BD55-6411
1017,7,BD55-6448
1018,7,BD55-6456
1019,7,BD55-6459
1020,7,BD55-6461
1021,7,BD55-6477
1022,7,BD55-6478
1023,7,BD55-6514
1024,7,BD55-6537
1025,7,BD55-6550
1026,7,BD55-6641
1027,7,BD55-6647
1028,7,BD55-6651
1029,7,BD55-682
1030,7,BD55-859
1031,7,BD55-934
1032,7,BD56-006
1033,7,BD56-029
1034,7,BD56-124
1035,7,BD56-1261
1036,7,BD56-1281
1037,7,BD56-1284
1038,7,BD56-1382
1039,7,BD56-1475
1040,7,BD56-1486
1041,7,BD56-1598
1042,7,BD56-1620
1043,7,BD56-1641
1044,7,BD56-1668
1045,7,BD56-1755
1046,7,BD56-1800
1047,7,BD56-1818
1048,7,BD56-1824
1049,7,BD56-184
1050,7,BD56-215
1051,7,BD56-460
1052,7,BD56-467
1053,7,BD56-534
1054,7,BD56-552
1055,7,BD56-602
1056,7,BD56-634
1057,7,BD56-902
1058,7,BD56-910
1059,7,BD57-015
1060,7,BD57-016
1061,7,BD57-0233
1062,7,BD57-030
1063,7,BD57-052
1064,7,BD57-072
1065,7,BG4-25
1066,7,C091
1067,7,C578
1068,7,C594
1069,7,COV2-2037
1070,7,CV2-75
1071,7,DH1046
1072,7,DH1064
1073,7,DH1073
1074,7,DH1126
1075,7,DH1151
1076,7,DH1161-1
1077,7,DH1161-2
1078,7,S2X259
1079,7,TAU-2310
1080,7,XG2v-032
1081,7,XG2v-126
1082,7,XGv-051
1083,7,XGv-053
1084,7,XGv-159
1085,7,XGv-177
1086,7,XGv-199
1087,7,XGv-404
1088,8,BD-670
1089,8,BD55-1035
1090,8,BD55-1049
1091,8,BD55-1066
1092,8,BD55-1270
1093,8,BD55-1345
1094,8,BD55-1435
1095,8,BD55-4382
