,Antibody
993,BD56-572
994,BD56-573
995,BD56-576
996,BD56-580
997,BD56-583
998,BD56-586
999,BD56-588
1000,BD56-590
1001,BD56-591
1002,BD56-594
1003,BD56-598
1004,BD56-599
1005,BD56-600
1006,BD56-601
1007,BD56-604
1008,BD56-607
1009,BD56-609
1010,BD56-610
1011,BD56-614
1012,BD56-616
1013,BD56-620
1014,BD56-622
1015,BD56-625
1016,BD56-626
1017,BD56-627
1018,BD56-628
1019,BD56-629
1020,BD56-633
1021,BD56-636
1022,BD56-637
1023,BD56-639
1024,BD56-643
1025,BD56-644
1026,BD56-648
1027,BD56-650
1028,BD56-651
1029,BD56-652
1030,BD56-653
1031,BD56-656
1032,BD56-658
1033,BD56-661
1034,BD56-663
1035,BD56-665
1036,BD56-666
1037,BD56-668
1038,BD56-670
1039,BD56-674
1040,BD56-676
1041,BD56-677
1042,BD56-679
1043,BD56-684
1044,BD56-686
1045,BD56-687
1046,BD56-688
1047,BD56-690
1048,BD56-691
1049,BD56-692
1050,BD56-693
1051,BD56-694
1052,BD56-695
1053,BD56-697
1054,BD56-698
1055,BD56-700
1056,BD56-701
1057,BD56-703
1058,BD56-705
1059,BD56-707
1060,BD56-708
1061,BD56-709
1062,BD56-711
1063,BD56-712
1064,BD56-714
1065,BD56-715
1066,BD56-717
1067,BD56-718
1068,BD56-720
1069,BD56-722
1070,BD56-723
1071,BD56-724
1072,BD56-725
1073,BD56-726
1074,BD56-727
1075,BD56-728
1076,BD56-730
1077,BD56-732
1078,BD56-733
1079,BD56-901
1080,BD56-903
1081,BD56-905
1082,BD56-906
1083,BD56-911
1084,BD56-912
1085,BD56-913
1086,BD56-914
1087,BD56-918
1088,BD56-919
1089,BD56-921
1090,BD56-923
1091,BD56-924
1092,BD56-925
1093,BD56-928
1094,BD56-929
1095,BD56-930
1096,BD56-931
1097,BD56-933
1098,BD56-934
1099,BD56-936
1100,BD56-938
1101,BD56-939
1102,BD56-941
1103,BD56-944
1104,BD56-945
1105,BD56-946
1106,BD56-948
1107,BD56-950
1108,BD56-952
1109,BD56-954
1110,BD56-955
1111,BD56-956
1112,BD56-957
1113,BD56-959
1114,BD56-967
1115,BD56-970
1116,BD56-972
1117,BD56-975
1118,BD56-977
1119,BD56-978
1120,BD57-0123
1121,BD57-0135
1122,BD57-0138
1123,BD57-0199
1124,BD57-0202
1125,BD57-0203
1126,BD57-0211
1127,BD57-0214
1128,BD57-0219
1129,BD57-0229
1130,BD57-0232
1131,BD57-0234
1132,BD57-0238
1133,BD57-0249
1134,BD57-0251
1135,BD57-026
1136,BD57-0268
1137,BD57-0275
1138,BD57-0280
1139,BD57-0284
1140,BD57-0289
1141,BD57-0292
1142,BD57-0294
1143,BD57-0317
1144,BD57-032
1145,BD57-0321
1146,BD57-0327
1147,BD57-0328
1148,BD57-0337
1149,BD57-034
1150,BD57-0364
1151,BD57-0365
1152,BD57-0369
1153,BD57-0387
1154,BD57-0404
1155,BD57-0406
1156,BD57-053
1157,BD57-057
1158,BD57-063
1159,BD57-064
1160,BD57-071
1161,BD57-074
1162,BD57-075
1163,BD57-076
1164,BD57-083
1165,BD57-088
1166,BD57-090
1167,BD57-091
1168,BD57-092
1169,BD57-093
1170,BD57-097
1171,BD57-100
1172,BD58-0571
1173,BD58-0572
1174,BD58-0574
1175,BD58-0575
1176,BD58-0578
1177,BD58-0584
1178,BD58-0586
1179,BD58-0587
1180,C048
1181,C135
1182,C217
1183,COV2-2531
1184,COV2-2734
1185,COVA1-16
1186,COVOX-45
1187,DH1072
1188,DH1088
1189,DH1117
1190,DH1193
1191,S309
1192,TAU-1109
1193,TAU-1115
1194,XG2v-004
1195,XGv-001
1196,XGv-014
1197,XGv-018
1198,XGv-023
1199,XGv-024
1200,XGv-030
1201,XGv-039
1202,XGv-049
1203,XGv-072
1204,XGv-073
1205,XGv-080
1206,XGv-101
1207,XGv-124
1208,XGv-157
1209,XGv-158
1210,XGv-179
1211,XGv-20
1212,XGv-214
1213,XGv-235
1214,XGv-252
1215,XGv-298
1216,XGv-301
1217,XGv-304
1218,XGv-305
1219,XGv-306
1220,XGv-311
1221,XGv-318
1222,XGv-355
1223,XGv-380
1224,XGv-401
1225,XGv-402
1226,XGv-405
1227,XGv-418
1228,XGv-422
