study,antibody,virus,IC50
imprinted_2022,BD56-063,D614G,10.0
imprinted_2022,BD56-066,D614G,0.0268
imprinted_2022,BD56-068,D614G,0.776
imprinted_2022,BD56-069,D614G,0.0258
imprinted_2022,BD56-070,D614G,0.0671
imprinted_2022,BD56-071,D614G,0.00526
imprinted_2022,BD56-073,D614G,0.433
imprinted_2022,BD56-075,D614G,2.79
imprinted_2022,BD56-076,D614G,0.001
imprinted_2022,BD56-077,D614G,0.00656
imprinted_2022,BD56-081,D614G,10.0
imprinted_2022,BD56-082,D614G,10.0
imprinted_2022,BD56-086,D614G,10.0
imprinted_2022,BD56-087,D614G,0.696
imprinted_2022,BD56-088,D614G,10.0
imprinted_2022,BD56-090,D614G,0.0294
imprinted_2022,BD56-091,D614G,0.00918
imprinted_2022,BD56-097,D614G,10.0
imprinted_2022,BD56-098,D614G,0.0257
imprinted_2022,BD56-100,D614G,10.0
imprinted_2022,BD56-101,D614G,10.0
imprinted_2022,BD56-103,D614G,4.54
imprinted_2022,BD56-105,D614G,10.0
imprinted_2022,BD56-107,D614G,1.71
imprinted_2022,BD56-109,D614G,1.64
imprinted_2022,BD56-110,D614G,0.81
imprinted_2022,BD56-111,D614G,1.7
imprinted_2022,BD56-112,D614G,0.463
imprinted_2022,BD56-114,D614G,10.0
imprinted_2022,BD56-116,D614G,7.58
imprinted_2022,BD56-117,D614G,10.0
imprinted_2022,BD56-119,D614G,10.0
imprinted_2022,BD56-120,D614G,10.0
imprinted_2022,BD56-121,D614G,10.0
imprinted_2022,BD56-122,D614G,10.0
imprinted_2022,BD56-123,D614G,10.0
imprinted_2022,BD56-124,D614G,0.339
imprinted_2022,BD56-125,D614G,10.0
imprinted_2022,BD56-126,D614G,10.0
imprinted_2022,BD56-127,D614G,6.29
imprinted_2022,BD56-130,D614G,10.0
imprinted_2022,BD56-131,D614G,10.0
imprinted_2022,BD56-132,D614G,10.0
imprinted_2022,BD56-133,D614G,0.518
imprinted_2022,BD56-134,D614G,10.0
imprinted_2022,BD56-138,D614G,10.0
imprinted_2022,BD56-139,D614G,5.23
imprinted_2022,BD56-140,D614G,2.17
imprinted_2022,BD56-141,D614G,10.0
imprinted_2022,BD56-142,D614G,10.0
imprinted_2022,BD56-143,D614G,10.0
imprinted_2022,BD56-144,D614G,10.0
imprinted_2022,BD56-145,D614G,6.05
imprinted_2022,BD56-147,D614G,0.00346
imprinted_2022,BD56-148,D614G,5.17
imprinted_2022,BD56-152,D614G,0.0221
imprinted_2022,BD56-153,D614G,6.53
imprinted_2022,BD56-154,D614G,1.67
imprinted_2022,BD56-155,D614G,10.0
imprinted_2022,BD56-156,D614G,10.0
imprinted_2022,BD56-157,D614G,10.0
imprinted_2022,BD56-158,D614G,10.0
imprinted_2022,BD56-159,D614G,10.0
imprinted_2022,BD56-161,D614G,10.0
imprinted_2022,BD56-164,D614G,10.0
imprinted_2022,BD56-165,D614G,10.0
imprinted_2022,BD56-166,D614G,10.0
imprinted_2022,BD56-167,D614G,10.0
imprinted_2022,BD56-169,D614G,3.55
imprinted_2022,BD56-170,D614G,2.36
imprinted_2022,BD56-171,D614G,0.98
imprinted_2022,BD56-172,D614G,4.98
imprinted_2022,BD56-173,D614G,10.0
imprinted_2022,BD56-174,D614G,10.0
imprinted_2022,BD56-177,D614G,10.0
imprinted_2022,BD56-179,D614G,10.0
imprinted_2022,BD56-181,D614G,1.3
imprinted_2022,BD56-184,D614G,10.0
imprinted_2022,BD56-187,D614G,0.0547
imprinted_2022,BD56-188,D614G,2.02
imprinted_2022,BD56-189,D614G,10.0
imprinted_2022,BD56-190,D614G,10.0
imprinted_2022,BD56-193,D614G,10.0
imprinted_2022,BD56-194,D614G,10.0
imprinted_2022,BD56-195,D614G,2.02
imprinted_2022,BD56-197,D614G,3.03
imprinted_2022,BD56-199,D614G,10.0
imprinted_2022,BD56-204,D614G,1.19
imprinted_2022,BD56-208,D614G,5.68
imprinted_2022,BD56-210,D614G,8.33
imprinted_2022,BD56-213,D614G,1.56
imprinted_2022,BD56-215,D614G,5.93
imprinted_2022,BD56-216,D614G,10.0
imprinted_2022,BD56-217,D614G,10.0
imprinted_2022,BD56-218,D614G,10.0
imprinted_2022,BD56-219,D614G,10.0
imprinted_2022,BD56-220,D614G,4.91
imprinted_2022,BD56-223,D614G,10.0
imprinted_2022,BD56-224,D614G,10.0
imprinted_2022,BD56-232,D614G,0.00976
imprinted_2022,BD56-233,D614G,0.00335
imprinted_2022,BD56-260,D614G,10.0
imprinted_2022,BD56-263,D614G,2.43
imprinted_2022,BD56-264,D614G,10.0
imprinted_2022,BD56-265,D614G,0.111
imprinted_2022,BD56-300,D614G,10.0
imprinted_2022,BD56-322,D614G,10.0
imprinted_2022,BD56-327,D614G,1.23
imprinted_2022,BD56-330,D614G,1.46
imprinted_2022,BD56-331,D614G,10.0
imprinted_2022,BD56-332,D614G,10.0
imprinted_2022,BD56-333,D614G,10.0
imprinted_2022,BD56-395,D614G,10.0
imprinted_2022,BD56-400,D614G,0.126
imprinted_2022,BD56-412,D614G,0.00517
imprinted_2022,BD56-416,D614G,0.0103
imprinted_2022,BD56-418,D614G,0.001
imprinted_2022,BD56-419,D614G,0.00241
imprinted_2022,BD56-420,D614G,0.13
imprinted_2022,BD56-423,D614G,0.0118
imprinted_2022,BD56-424,D614G,0.00106
imprinted_2022,BD56-426,D614G,0.001
imprinted_2022,BD56-427,D614G,0.0105
imprinted_2022,BD56-428,D614G,0.00138
imprinted_2022,BD56-430,D614G,0.00243
imprinted_2022,BD56-431,D614G,0.00134
imprinted_2022,BD56-433,D614G,0.001
imprinted_2022,BD56-436,D614G,0.00434
imprinted_2022,BD56-437,D614G,0.00307
imprinted_2022,BD56-438,D614G,0.00203
imprinted_2022,BD56-442,D614G,0.0297
imprinted_2022,BD56-444,D614G,0.00534
imprinted_2022,BD56-447,D614G,0.00162
imprinted_2022,BD56-451,D614G,0.114
imprinted_2022,BD56-454,D614G,0.00357
imprinted_2022,BD56-456,D614G,0.00375
imprinted_2022,BD56-457,D614G,0.0122
imprinted_2022,BD56-458,D614G,0.001
imprinted_2022,BD56-461,D614G,1.6
imprinted_2022,BD56-464,D614G,0.0016
imprinted_2022,BD56-467,D614G,0.0028
imprinted_2022,BD56-468,D614G,0.0271
imprinted_2022,BD56-469,D614G,0.205
imprinted_2022,BD56-470,D614G,0.00509
imprinted_2022,BD56-471,D614G,0.00175
imprinted_2022,BD56-472,D614G,0.00712
imprinted_2022,BD56-474,D614G,0.00765
imprinted_2022,BD56-475,D614G,1.36
imprinted_2022,BD56-476,D614G,0.0383
imprinted_2022,BD56-477,D614G,0.92
imprinted_2022,BD56-479,D614G,0.00417
imprinted_2022,BD56-480,D614G,0.0185
imprinted_2022,BD56-481,D614G,0.0884
imprinted_2022,BD56-482,D614G,0.00382
imprinted_2022,BD56-483,D614G,0.00277
imprinted_2022,BD56-484,D614G,0.201
imprinted_2022,BD56-487,D614G,0.0705
imprinted_2022,BD56-488,D614G,0.00822
imprinted_2022,BD56-489,D614G,0.00368
imprinted_2022,BD56-490,D614G,0.00185
imprinted_2022,BD56-491,D614G,0.171
imprinted_2022,BD56-494,D614G,10.0
imprinted_2022,BD56-495,D614G,0.905
imprinted_2022,BD56-499,D614G,0.00162
imprinted_2022,BD56-500,D614G,0.0479
imprinted_2022,BD56-501,D614G,3.61
imprinted_2022,BD56-504,D614G,0.138
imprinted_2022,BD56-505,D614G,0.017
imprinted_2022,BD56-506,D614G,0.00115
imprinted_2022,BD56-507,D614G,0.011
imprinted_2022,BD56-510,D614G,0.00137
imprinted_2022,BD56-515,D614G,10.0
imprinted_2022,BD56-516,D614G,0.0263
imprinted_2022,BD56-518,D614G,0.00506
imprinted_2022,BD56-519,D614G,0.00917
imprinted_2022,BD56-520,D614G,0.0342
imprinted_2022,BD56-522,D614G,1.01
imprinted_2022,BD56-523,D614G,1.7
imprinted_2022,BD56-524,D614G,0.001
imprinted_2022,BD56-525,D614G,0.52
imprinted_2022,BD56-526,D614G,2.46
imprinted_2022,BD56-529,D614G,10.0
imprinted_2022,BD56-530,D614G,0.983
imprinted_2022,BD56-531,D614G,0.0156
imprinted_2022,BD56-532,D614G,0.001
imprinted_2022,BD56-533,D614G,6.21
imprinted_2022,BD56-534,D614G,0.00795
imprinted_2022,BD56-535,D614G,0.00118
imprinted_2022,BD56-537,D614G,0.0247
imprinted_2022,BD56-538,D614G,0.00113
imprinted_2022,BD56-541,D614G,3.09
imprinted_2022,BD56-543,D614G,3.4
imprinted_2022,BD56-545,D614G,10.0
imprinted_2022,BD56-547,D614G,1.53
imprinted_2022,BD56-548,D614G,0.6
imprinted_2022,BD56-549,D614G,10.0
imprinted_2022,BD56-552,D614G,1.39
imprinted_2022,BD56-553,D614G,10.0
imprinted_2022,BD56-554,D614G,0.00163
imprinted_2022,BD56-555,D614G,4.46
imprinted_2022,BD56-557,D614G,0.432
imprinted_2022,BD56-559,D614G,10.0
imprinted_2022,BD56-560,D614G,0.0313
imprinted_2022,BD56-561,D614G,1.55
imprinted_2022,BD56-563,D614G,10.0
imprinted_2022,BD56-564,D614G,0.00973
imprinted_2022,BD56-565,D614G,10.0
imprinted_2022,BD56-566,D614G,0.00889
imprinted_2022,BD56-568,D614G,3.65
imprinted_2022,BD56-569,D614G,1.21
imprinted_2022,BD56-571,D614G,5.29
imprinted_2022,BD56-572,D614G,0.353
imprinted_2022,BD56-573,D614G,6.28
imprinted_2022,BD56-574,D614G,0.0535
imprinted_2022,BD56-576,D614G,3.3
imprinted_2022,BD56-577,D614G,10.0
imprinted_2022,BD56-579,D614G,0.182
imprinted_2022,BD56-580,D614G,10.0
imprinted_2022,BD56-581,D614G,1.04
imprinted_2022,BD56-583,D614G,2.77
imprinted_2022,BD56-585,D614G,0.001
imprinted_2022,BD56-586,D614G,2.69
imprinted_2022,BD56-587,D614G,0.0134
imprinted_2022,BD56-588,D614G,10.0
imprinted_2022,BD56-589,D614G,0.0365
imprinted_2022,BD56-590,D614G,2.31
imprinted_2022,BD56-591,D614G,10.0
imprinted_2022,BD56-592,D614G,0.0751
imprinted_2022,BD56-593,D614G,0.00233
imprinted_2022,BD56-594,D614G,4.33
imprinted_2022,BD56-595,D614G,0.001
imprinted_2022,BD56-598,D614G,0.874
imprinted_2022,BD56-599,D614G,10.0
imprinted_2022,BD56-600,D614G,7.87
imprinted_2022,BD56-602,D614G,10.0
imprinted_2022,BD56-603,D614G,10.0
imprinted_2022,BD56-604,D614G,10.0
imprinted_2022,BD56-605,D614G,0.202
imprinted_2022,BD56-606,D614G,0.00457
imprinted_2022,BD56-607,D614G,10.0
imprinted_2022,BD56-608,D614G,0.0368
imprinted_2022,BD56-609,D614G,1.2
imprinted_2022,BD56-612,D614G,4.08
imprinted_2022,BD56-614,D614G,10.0
imprinted_2022,BD56-616,D614G,0.122
imprinted_2022,BD56-618,D614G,0.032
imprinted_2022,BD56-619,D614G,0.00494
imprinted_2022,BD56-620,D614G,3.31
imprinted_2022,BD56-623,D614G,1.28
imprinted_2022,BD56-626,D614G,2.04
imprinted_2022,BD56-627,D614G,3.83
imprinted_2022,BD56-628,D614G,3.11
imprinted_2022,BD56-629,D614G,10.0
imprinted_2022,BD56-631,D614G,10.0
imprinted_2022,BD56-632,D614G,0.5
imprinted_2022,BD56-637,D614G,10.0
imprinted_2022,BD56-638,D614G,3.74
imprinted_2022,BD56-639,D614G,10.0
imprinted_2022,BD56-640,D614G,1.43
imprinted_2022,BD56-642,D614G,3.47
imprinted_2022,BD56-643,D614G,3.98
imprinted_2022,BD56-644,D614G,10.0
imprinted_2022,BD56-646,D614G,0.00656
imprinted_2022,BD56-647,D614G,0.812
imprinted_2022,BD56-649,D614G,0.205
imprinted_2022,BD56-651,D614G,10.0
imprinted_2022,BD56-652,D614G,10.0
imprinted_2022,BD56-653,D614G,10.0
imprinted_2022,BD56-654,D614G,7.07
imprinted_2022,BD56-656,D614G,10.0
imprinted_2022,BD56-657,D614G,0.00244
imprinted_2022,BD56-658,D614G,10.0
imprinted_2022,BD56-660,D614G,0.369
imprinted_2022,BD56-661,D614G,4.38
imprinted_2022,BD56-663,D614G,10.0
imprinted_2022,BD56-664,D614G,10.0
imprinted_2022,BD56-666,D614G,8.42
imprinted_2022,BD56-668,D614G,3.33
imprinted_2022,BD56-669,D614G,2.74
imprinted_2022,BD56-670,D614G,10.0
imprinted_2022,BD56-671,D614G,0.00938
imprinted_2022,BD56-674,D614G,3.04
imprinted_2022,BD56-676,D614G,10.0
imprinted_2022,BD56-677,D614G,10.0
imprinted_2022,BD56-678,D614G,0.485
imprinted_2022,BD56-679,D614G,2.69
imprinted_2022,BD56-682,D614G,0.129
imprinted_2022,BD56-683,D614G,10.0
imprinted_2022,BD56-687,D614G,10.0
imprinted_2022,BD56-688,D614G,10.0
imprinted_2022,BD56-690,D614G,10.0
imprinted_2022,BD56-691,D614G,10.0
imprinted_2022,BD56-693,D614G,10.0
imprinted_2022,BD56-694,D614G,10.0
imprinted_2022,BD56-695,D614G,2.15
imprinted_2022,BD56-697,D614G,10.0
imprinted_2022,BD56-698,D614G,10.0
imprinted_2022,BD56-701,D614G,5.37
imprinted_2022,BD56-702,D614G,1.43
imprinted_2022,BD56-703,D614G,10.0
imprinted_2022,BD56-708,D614G,4.42
imprinted_2022,BD56-709,D614G,10.0
imprinted_2022,BD56-711,D614G,10.0
imprinted_2022,BD56-712,D614G,10.0
imprinted_2022,BD56-713,D614G,10.0
imprinted_2022,BD56-715,D614G,10.0
imprinted_2022,BD56-716,D614G,2.48
imprinted_2022,BD56-717,D614G,10.0
imprinted_2022,BD56-719,D614G,0.00434
imprinted_2022,BD56-720,D614G,10.0
imprinted_2022,BD56-722,D614G,2.3
imprinted_2022,BD56-724,D614G,4.46
imprinted_2022,BD56-725,D614G,1.53
imprinted_2022,BD56-726,D614G,10.0
imprinted_2022,BD56-727,D614G,10.0
imprinted_2022,BD56-729,D614G,0.306
imprinted_2022,BD56-730,D614G,5.91
imprinted_2022,BD56-732,D614G,10.0
imprinted_2022,BD56-733,D614G,1.4
imprinted_2022,BD56-739,D614G,10.0
imprinted_2022,BD56-887,D614G,10.0
imprinted_2022,BD56-900,D614G,0.0296
imprinted_2022,BD56-901,D614G,10.0
imprinted_2022,BD56-904,D614G,2.3
imprinted_2022,BD56-907,D614G,0.594
imprinted_2022,BD56-908,D614G,0.156
imprinted_2022,BD56-910,D614G,0.0373
imprinted_2022,BD56-913,D614G,10.0
imprinted_2022,BD56-914,D614G,10.0
imprinted_2022,BD56-917,D614G,0.00326
imprinted_2022,BD56-918,D614G,6.83
imprinted_2022,BD56-921,D614G,10.0
imprinted_2022,BD56-924,D614G,10.0
imprinted_2022,BD56-929,D614G,9.19
imprinted_2022,BD56-930,D614G,10.0
imprinted_2022,BD56-931,D614G,10.0
imprinted_2022,BD56-937,D614G,0.00785
imprinted_2022,BD56-939,D614G,10.0
imprinted_2022,BD56-940,D614G,0.81
imprinted_2022,BD56-941,D614G,0.117
imprinted_2022,BD56-942,D614G,0.0355
imprinted_2022,BD56-945,D614G,10.0
imprinted_2022,BD56-948,D614G,10.0
imprinted_2022,BD56-949,D614G,0.0528
imprinted_2022,BD56-950,D614G,10.0
imprinted_2022,BD56-952,D614G,10.0
imprinted_2022,BD56-954,D614G,10.0
imprinted_2022,BD56-957,D614G,10.0
imprinted_2022,BD56-963,D614G,0.00734
imprinted_2022,BD56-964,D614G,0.0143
imprinted_2022,BD56-965,D614G,0.00301
imprinted_2022,BD56-967,D614G,10.0
imprinted_2022,BD56-968,D614G,3.46
imprinted_2022,BD56-971,D614G,3.6
imprinted_2022,BD56-975,D614G,10.0
imprinted_2022,BD56-976,D614G,2.51
imprinted_2022,BD56-977,D614G,0.96
imprinted_2022,BD56-1038,D614G,10.0
imprinted_2022,BD56-1057,D614G,10.0
imprinted_2022,BD56-1061,D614G,10.0
imprinted_2022,BD56-1076,D614G,10.0
imprinted_2022,BD56-1091,D614G,10.0
imprinted_2022,BD56-1092,D614G,10.0
imprinted_2022,BD56-1097,D614G,10.0
imprinted_2022,BD58-0448,D614G,10.0
imprinted_2022,BD58-0571,D614G,10.0
imprinted_2022,BD58-0572,D614G,10.0
imprinted_2022,BD58-0573,D614G,0.12
imprinted_2022,BD58-0574,D614G,10.0
imprinted_2022,BD58-0575,D614G,10.0
imprinted_2022,BD58-0577,D614G,10.0
imprinted_2022,BD58-0578,D614G,10.0
imprinted_2022,BD58-0580,D614G,10.0
imprinted_2022,BD58-0586,D614G,10.0
imprinted_2022,BD58-0588,D614G,10.0
imprinted_2022,BD58-0589,D614G,10.0
imprinted_2022,BD56-1180,D614G,1.9
imprinted_2022,BD56-1181,D614G,2.76
imprinted_2022,BD56-1192,D614G,9.84
imprinted_2022,BD56-1198,D614G,10.0
imprinted_2022,BD56-1211,D614G,10.0
imprinted_2022,BD56-1220,D614G,10.0
imprinted_2022,BD56-1221,D614G,10.0
imprinted_2022,BD56-1223,D614G,0.0998
imprinted_2022,BD56-1225,D614G,10.0
imprinted_2022,BD56-1228,D614G,10.0
imprinted_2022,BD56-1230,D614G,1.59
imprinted_2022,BD56-1231,D614G,10.0
imprinted_2022,BD56-1232,D614G,10.0
imprinted_2022,BD56-1233,D614G,10.0
imprinted_2022,BD56-1234,D614G,1.88
imprinted_2022,BD56-1235,D614G,10.0
imprinted_2022,BD56-1243,D614G,0.001
imprinted_2022,BD56-1246,D614G,10.0
imprinted_2022,BD56-1247,D614G,0.0279
imprinted_2022,BD56-1249,D614G,0.023
imprinted_2022,BD56-1251,D614G,1.25
imprinted_2022,BD56-1252,D614G,0.107
imprinted_2022,BD56-1254,D614G,0.0331
imprinted_2022,BD56-1255,D614G,0.0205
imprinted_2022,BD56-1256,D614G,1.75
imprinted_2022,BD56-1257,D614G,0.0196
imprinted_2022,BD56-1258,D614G,0.0329
imprinted_2022,BD56-1259,D614G,0.0156
imprinted_2022,BD56-1261,D614G,0.343
imprinted_2022,BD56-1262,D614G,0.001
imprinted_2022,BD56-1263,D614G,0.0974
imprinted_2022,BD56-1265,D614G,0.00322
imprinted_2022,BD56-1267,D614G,0.00194
imprinted_2022,BD56-1268,D614G,0.0103
imprinted_2022,BD56-1270,D614G,1.11
imprinted_2022,BD56-1271,D614G,0.151
imprinted_2022,BD56-1272,D614G,10.0
imprinted_2022,BD56-1273,D614G,0.00224
imprinted_2022,BD56-1274,D614G,0.0174
imprinted_2022,BD56-1276,D614G,10.0
imprinted_2022,BD56-1279,D614G,0.0846
imprinted_2022,BD56-1280,D614G,1.24
imprinted_2022,BD56-1282,D614G,0.217
imprinted_2022,BD56-1283,D614G,2.03
imprinted_2022,BD56-1286,D614G,0.066
imprinted_2022,BD56-1287,D614G,0.00161
imprinted_2022,BD56-1288,D614G,0.00571
imprinted_2022,BD56-1289,D614G,0.0605
imprinted_2022,BD56-1290,D614G,0.001
imprinted_2022,BD56-1292,D614G,0.193
imprinted_2022,BD56-1293,D614G,10.0
imprinted_2022,BD56-1294,D614G,1.02
imprinted_2022,BD56-1297,D614G,0.138
imprinted_2022,BD56-1298,D614G,1.07
imprinted_2022,BD56-1299,D614G,0.577
imprinted_2022,BD56-1300,D614G,10.0
imprinted_2022,BD56-1301,D614G,0.182
imprinted_2022,BD56-1302,D614G,0.00572
imprinted_2022,BD56-1304,D614G,1.72
imprinted_2022,BD56-1305,D614G,1.02
imprinted_2022,BD56-1306,D614G,10.0
imprinted_2022,BD56-1307,D614G,10.0
imprinted_2022,BD56-1308,D614G,10.0
imprinted_2022,BD56-1309,D614G,0.00591
imprinted_2022,BD56-1311,D614G,0.707
imprinted_2022,BD56-1312,D614G,0.952
imprinted_2022,BD56-1314,D614G,4.61
imprinted_2022,BD56-1315,D614G,10.0
imprinted_2022,BD56-1317,D614G,0.0194
imprinted_2022,BD56-1318,D614G,6.53
imprinted_2022,BD56-1320,D614G,0.314
imprinted_2022,BD56-1321,D614G,2.32
imprinted_2022,BD56-1322,D614G,0.0223
imprinted_2022,BD56-1323,D614G,1.16
imprinted_2022,BD56-1324,D614G,1.26
imprinted_2022,BD56-1325,D614G,10.0
imprinted_2022,BD56-1326,D614G,10.0
imprinted_2022,BD56-1327,D614G,0.0785
imprinted_2022,BD56-1328,D614G,0.247
imprinted_2022,BD56-1329,D614G,0.838
imprinted_2022,BD56-1330,D614G,0.0449
imprinted_2022,BD56-1331,D614G,1.75
imprinted_2022,BD56-1332,D614G,10.0
imprinted_2022,BD56-1333,D614G,0.00594
imprinted_2022,BD56-1335,D614G,10.0
imprinted_2022,BD56-1336,D614G,10.0
imprinted_2022,BD56-1337,D614G,4.15
imprinted_2022,BD56-1338,D614G,1.41
imprinted_2022,BD56-1341,D614G,0.253
imprinted_2022,BD56-1342,D614G,10.0
imprinted_2022,BD56-1343,D614G,10.0
imprinted_2022,BD56-1344,D614G,10.0
imprinted_2022,BD56-1354,D614G,6.96
imprinted_2022,BD56-1382,D614G,10.0
imprinted_2022,BD56-1390,D614G,1.31
imprinted_2022,BD56-1391,D614G,10.0
imprinted_2022,BD56-1392,D614G,10.0
imprinted_2022,BD56-1397,D614G,10.0
imprinted_2022,BD56-1398,D614G,10.0
imprinted_2022,BD56-1399,D614G,10.0
imprinted_2022,BD56-1400,D614G,10.0
imprinted_2022,BD56-1401,D614G,10.0
imprinted_2022,BD56-1402,D614G,1.19
imprinted_2022,BD56-1403,D614G,10.0
imprinted_2022,BD56-1404,D614G,10.0
imprinted_2022,BD56-1405,D614G,0.913
imprinted_2022,BD56-1408,D614G,0.709
imprinted_2022,BD56-1409,D614G,10.0
imprinted_2022,BD56-1410,D614G,0.775
imprinted_2022,BD56-1413,D614G,10.0
imprinted_2022,BD56-1414,D614G,10.0
imprinted_2022,BD56-1416,D614G,2.78
imprinted_2022,BD56-1417,D614G,2.71
imprinted_2022,BD56-1419,D614G,10.0
imprinted_2022,BD56-1420,D614G,0.00284
imprinted_2022,BD56-1423,D614G,10.0
imprinted_2022,BD56-1426,D614G,10.0
imprinted_2022,BD56-1427,D614G,10.0
imprinted_2022,BD56-1428,D614G,1.3
imprinted_2022,BD56-1429,D614G,10.0
imprinted_2022,BD56-1430,D614G,0.0247
imprinted_2022,BD56-1431,D614G,0.643
imprinted_2022,BD56-1433,D614G,10.0
imprinted_2022,BD56-1435,D614G,10.0
imprinted_2022,BD56-1436,D614G,10.0
imprinted_2022,BD56-1437,D614G,10.0
imprinted_2022,BD56-1438,D614G,10.0
imprinted_2022,BD56-1439,D614G,0.00213
imprinted_2022,BD56-1440,D614G,10.0
imprinted_2022,BD56-1441,D614G,10.0
imprinted_2022,BD56-1442,D614G,10.0
imprinted_2022,BD56-1443,D614G,0.088
imprinted_2022,BD56-1444,D614G,2.29
imprinted_2022,BD56-1445,D614G,0.549
imprinted_2022,BD56-1446,D614G,0.00101
imprinted_2022,BD56-1447,D614G,0.0018
imprinted_2022,BD56-1448,D614G,10.0
imprinted_2022,BD56-1450,D614G,0.172
imprinted_2022,BD56-1451,D614G,2.54
imprinted_2022,BD56-1452,D614G,0.0954
imprinted_2022,BD56-1453,D614G,0.00527
imprinted_2022,BD56-1455,D614G,10.0
imprinted_2022,BD56-1457,D614G,0.048
imprinted_2022,BD56-1458,D614G,0.0682
imprinted_2022,BD56-1459,D614G,0.00158
imprinted_2022,BD56-1460,D614G,0.253
imprinted_2022,BD56-1461,D614G,0.00411
imprinted_2022,BD56-1462,D614G,0.395
imprinted_2022,BD56-1463,D614G,0.00459
imprinted_2022,BD56-1464,D614G,0.144
imprinted_2022,BD56-1466,D614G,0.00402
imprinted_2022,BD56-1467,D614G,0.44
imprinted_2022,BD56-1468,D614G,0.00111
imprinted_2022,BD56-1469,D614G,0.00136
imprinted_2022,BD56-1470,D614G,0.00836
imprinted_2022,BD56-1471,D614G,0.00241
imprinted_2022,BD56-1472,D614G,0.00115
imprinted_2022,BD56-1477,D614G,0.0216
imprinted_2022,BD56-1478,D614G,0.0108
imprinted_2022,BD56-1479,D614G,0.0128
imprinted_2022,BD56-1481,D614G,0.00265
imprinted_2022,BD56-1485,D614G,0.184
imprinted_2022,BD56-1486,D614G,1.16
imprinted_2022,BD56-1489,D614G,10.0
imprinted_2022,BD56-1493,D614G,10.0
imprinted_2022,BD56-1515,D614G,10.0
imprinted_2022,BD56-1517,D614G,0.218
imprinted_2022,BD56-1518,D614G,10.0
imprinted_2022,BD56-1519,D614G,10.0
imprinted_2022,BD56-1520,D614G,0.117
imprinted_2022,BD56-1521,D614G,0.304
imprinted_2022,BD56-1526,D614G,0.818
imprinted_2022,BD56-1527,D614G,10.0
imprinted_2022,BD56-1529,D614G,10.0
imprinted_2022,BD56-1531,D614G,10.0
imprinted_2022,BD56-1532,D614G,1.23
imprinted_2022,BD56-1533,D614G,10.0
imprinted_2022,BD56-1535,D614G,10.0
imprinted_2022,BD56-1537,D614G,0.959
imprinted_2022,BD56-1538,D614G,10.0
imprinted_2022,BD56-1539,D614G,5.53
imprinted_2022,BD56-1541,D614G,2.5
imprinted_2022,BD56-1542,D614G,10.0
imprinted_2022,BD56-1544,D614G,10.0
imprinted_2022,BD56-1545,D614G,2.75
imprinted_2022,BD56-1546,D614G,10.0
imprinted_2022,BD56-1547,D614G,10.0
imprinted_2022,BD56-1548,D614G,10.0
imprinted_2022,BD56-1549,D614G,10.0
imprinted_2022,BD56-1551,D614G,2.61
imprinted_2022,BD56-1552,D614G,0.0472
imprinted_2022,BD56-1554,D614G,10.0
imprinted_2022,BD56-1556,D614G,10.0
imprinted_2022,BD56-1557,D614G,5.19
imprinted_2022,BD56-1559,D614G,10.0
imprinted_2022,BD56-1560,D614G,1.06
imprinted_2022,BD56-1562,D614G,6.66
imprinted_2022,BD56-1565,D614G,10.0
imprinted_2022,BD56-1566,D614G,10.0
imprinted_2022,BD56-1567,D614G,10.0
imprinted_2022,BD56-1568,D614G,10.0
imprinted_2022,BD56-1570,D614G,10.0
imprinted_2022,BD56-1572,D614G,2.2
imprinted_2022,BD56-1573,D614G,0.0376
imprinted_2022,BD56-1574,D614G,10.0
imprinted_2022,BD56-1576,D614G,10.0
imprinted_2022,BD56-1579,D614G,0.372
imprinted_2022,BD56-1581,D614G,0.888
imprinted_2022,BD56-1583,D614G,10.0
imprinted_2022,BD56-1585,D614G,0.0426
imprinted_2022,BD56-1586,D614G,10.0
imprinted_2022,BD56-1587,D614G,10.0
imprinted_2022,BD56-1590,D614G,2.04
imprinted_2022,BD56-1593,D614G,2.04
imprinted_2022,BD56-1594,D614G,10.0
imprinted_2022,BD56-1598,D614G,0.0661
imprinted_2022,BD56-1599,D614G,10.0
imprinted_2022,BD56-1600,D614G,0.939
imprinted_2022,BD56-1601,D614G,2.04
imprinted_2022,BD56-1603,D614G,10.0
imprinted_2022,BD56-1604,D614G,10.0
imprinted_2022,BD56-1605,D614G,10.0
imprinted_2022,BD56-1606,D614G,10.0
imprinted_2022,BD56-1607,D614G,10.0
imprinted_2022,BD56-1608,D614G,10.0
imprinted_2022,BD56-1609,D614G,0.0185
imprinted_2022,BD56-1610,D614G,2.79
imprinted_2022,BD56-1611,D614G,10.0
imprinted_2022,BD56-1612,D614G,0.0443
imprinted_2022,BD56-1613,D614G,10.0
imprinted_2022,BD56-1614,D614G,10.0
imprinted_2022,BD56-1615,D614G,10.0
imprinted_2022,BD56-1616,D614G,3.12
imprinted_2022,BD56-1618,D614G,0.00288
imprinted_2022,BD56-1619,D614G,10.0
imprinted_2022,BD56-1620,D614G,0.14
imprinted_2022,BD56-1621,D614G,3.51
imprinted_2022,BD56-1623,D614G,10.0
imprinted_2022,BD56-1624,D614G,10.0
imprinted_2022,BD56-1629,D614G,10.0
imprinted_2022,BD56-1630,D614G,10.0
